protein_id,sample_id,abundance_score,observed,confidence_score
P0001,S0001,22.0,1,44.84
P0001,S0002,18.0,1,33.15
P0001,S0003,6.0,1,10.65
P0001,S0004,7.0,1,12.34
P0001,S0005,1.0,0,3.42
P0001,S0006,0.5,0,2.06
P0001,S0007,0.4,0,3.15
P0001,S0008,0.2,0,-2.08
P0001,S0009,30.0,1,59.53
P0001,S0010,10.0,1,17.18
P0002,S0001,12.0,1,22.31
P0002,S0002,14.0,1,28.03
P0002,S0003,20.0,1,37.16
P0002,S0004,24.0,1,46.19
P0002,S0005,0.3,0,1.5
P0002,S0006,0.2,0,0.67
P0002,S0007,0.1,0,-1.48
P0002,S0008,0.1,0,0.74
P0002,S0009,18.0,1,37.86
P0002,S0010,25.0,1,47.04
P0003,S0001,35.0,1,71.83
P0003,S0002,31.0,1,63.19
P0003,S0003,28.0,1,55.04
P0003,S0004,25.0,1,47.93
P0003,S0005,6.0,1,14.74
P0003,S0006,5.0,1,9.02
P0003,S0007,4.0,1,5.56
P0003,S0008,4.0,1,5.58
P0003,S0009,40.0,1,82.08
P0003,S0010,33.0,1,66.62
P0004,S0001,18.0,1,37.84
P0004,S0002,15.0,1,31.38
P0004,S0003,16.0,1,32.22
P0004,S0004,17.0,1,36.84
P0004,S0005,14.0,1,27.27
P0004,S0006,13.0,1,26.31
P0004,S0007,10.0,1,21.98
P0004,S0008,11.0,1,22.71
P0004,S0009,20.0,1,42.17
P0004,S0010,19.0,1,38.46
P0005,S0001,9.0,1,19.23
P0005,S0002,11.0,1,19.27
P0005,S0003,3.0,1,4.37
P0005,S0004,4.0,1,6.74
P0005,S0005,0.0,0,-2.52
P0005,S0006,0.2,0,-1.2
P0005,S0007,0.0,0,-2.39
P0005,S0008,0.0,0,-1.33
P0005,S0009,14.0,1,28.81
P0005,S0010,5.0,1,9.19
P0006,S0001,60.0,1,100.0
P0006,S0002,58.0,1,100.0
P0006,S0003,62.0,1,100.0
P0006,S0004,61.0,1,100.0
P0006,S0005,55.0,1,100.0
P0006,S0006,52.0,1,100.0
P0006,S0007,50.0,1,98.03
P0006,S0008,51.0,1,100.0
P0006,S0009,65.0,1,100.0
P0006,S0010,64.0,1,100.0
P0007,S0001,4.0,1,10.94
P0007,S0002,5.0,1,10.84
P0007,S0003,25.0,1,50.34
P0007,S0004,26.0,1,53.11
P0007,S0005,0.2,0,2.46
P0007,S0006,0.1,0,1.86
P0007,S0007,0.0,0,-1.63
P0007,S0008,0.0,0,-2.81
P0007,S0009,6.0,1,10.89
P0007,S0010,29.0,1,56.61
P0008,S0001,8.0,1,14.27
P0008,S0002,7.0,1,16.66
P0008,S0003,9.0,1,20.26
P0008,S0004,8.0,1,14.89
P0008,S0005,7.0,1,14.93
P0008,S0006,8.0,1,15.37
P0008,S0007,7.0,1,16.49
P0008,S0008,7.0,1,13.75
P0008,S0009,10.0,1,18.59
P0008,S0010,9.0,1,16.48
