peptide_id,isoform_id,peptide_label,start_aa,end_aa,specificity,quality_score
PEP0001,I0001,PEPTIDE_I0001_1,599,615,unique_to_protein,0.9
PEP0002,I0001,PEPTIDE_I0001_2,463,480,unique_to_protein,0.77
PEP0003,I0001,PEPTIDE_I0001_3,166,182,unique_to_protein,0.68
PEP0004,I0002,PEPTIDE_I0002_1,73,82,unique_to_isoform,0.7
PEP0005,I0002,PEPTIDE_I0002_2,188,206,unique_to_protein,0.85
PEP0006,I0002,PEPTIDE_I0002_3,419,433,shared,0.99
PEP0007,I0003,PEPTIDE_I0003_1,282,298,protein_group,0.88
PEP0008,I0003,PEPTIDE_I0003_2,142,160,shared,0.91
PEP0009,I0003,PEPTIDE_I0003_3,373,382,unique_to_protein,0.8
PEP0010,I0004,PEPTIDE_I0004_1,257,265,unique_to_isoform,0.97
PEP0011,I0004,PEPTIDE_I0004_2,393,405,shared,0.91
PEP0012,I0004,PEPTIDE_I0004_3,284,293,shared,0.75
PEP0013,I0005,PEPTIDE_I0005_1,352,368,shared,0.72
PEP0014,I0005,PEPTIDE_I0005_2,216,226,shared,0.97
PEP0015,I0005,PEPTIDE_I0005_3,296,304,shared,0.76
PEP0016,I0006,PEPTIDE_I0006_1,44,53,unique_to_protein,0.95
PEP0017,I0006,PEPTIDE_I0006_2,339,350,protein_group,0.73
PEP0018,I0006,PEPTIDE_I0006_3,605,614,protein_group,0.9
PEP0019,I0007,PEPTIDE_I0007_1,442,451,shared,0.91
PEP0020,I0007,PEPTIDE_I0007_2,90,108,unique_to_protein,0.97
PEP0021,I0007,PEPTIDE_I0007_3,109,121,shared,0.95
PEP0022,I0008,PEPTIDE_I0008_1,241,252,unique_to_isoform,0.97
PEP0023,I0008,PEPTIDE_I0008_2,411,422,shared,0.76
PEP0024,I0008,PEPTIDE_I0008_3,368,386,unique_to_protein,0.8
PEP0025,I0009,PEPTIDE_I0009_1,289,304,protein_group,0.73
PEP0026,I0009,PEPTIDE_I0009_2,57,70,protein_group,0.85
PEP0027,I0009,PEPTIDE_I0009_3,142,159,protein_group,0.65
PEP0028,I0010,PEPTIDE_I0010_1,749,767,protein_group,0.73
PEP0029,I0010,PEPTIDE_I0010_2,952,960,unique_to_protein,0.67
PEP0030,I0010,PEPTIDE_I0010_3,268,280,shared,0.82
PEP0031,I0011,PEPTIDE_I0011_1,577,587,unique_to_isoform,0.9
PEP0032,I0011,PEPTIDE_I0011_2,609,626,unique_to_protein,0.73
PEP0033,I0011,PEPTIDE_I0011_3,509,523,protein_group,0.68
PEP0034,I0012,PEPTIDE_I0012_1,193,207,unique_to_protein,0.79
PEP0035,I0012,PEPTIDE_I0012_2,144,152,shared,0.87
PEP0036,I0012,PEPTIDE_I0012_3,190,199,protein_group,0.79
